Station,Sediment sample,Latitude Degrees,Latitude Minutes,Latitude Seconds,North/South,Longitude Degrees,Longitude Minutes,Longitude Seconds,East/West,Decimal_Longitude,Decimal_Latitude,Location,FAOarea,Water body,Sea Area,Place,Date,Gear,Depth (fathoms),Bottom water temperature (C) ,Bottom temp (F),Bottom water depth D (fathoms),Specific Gravity at bottom,Surface temp (C),Surface temp (F),Specific Gravity at surface,Temp (F) at 10 Fathoms,Temp (F) at 20 Fathoms,Temp (F) at 25 Fathoms,Temp (F) at 30 Fathoms,Temp (F) at 40 Fathoms,Temp (F) at 50 Fathoms,Temp (F) at 60 Fathoms,Temp (F) at 70 Fathoms,Temp (F) at 75 Fathoms,Temp (F) at 80 Fathoms,Temp (F) at 90 Fathoms,Temp (F) at 100 Fathoms,Temp (F) at 110 Fathoms,Temp (F) at 120 Fathoms,Temp (F) at 125 Fathoms,Temp (F) at 130 Fathoms,Temp (F) at 140 Fathoms,Temp (F) at 150 Fathoms,Temp (F) at 160 Fathoms,Temp (F) at 170 Fathoms,Temp (F) at 175 Fathoms,Temp (F) at 180 Fathoms,Temp (F) at 190 Fathoms,Temp (F) at 200 Fathoms,Temp (F) at 225 Fathoms,Temp (F) at 250 Fathoms,Temp (F) at 275 Fathoms,Temp (F) at 300 Fathoms,Temp (F) at 400 Fathoms,Temp (F) at 500 Fathoms,Temp (F) at 600 Fathoms,Temp (F) at 700 Fathoms,Temp (F) at 800 Fathoms,Temp (F) at 900 Fathoms,Temp (F) at 1000 Fathoms,Temp (F) at 1100 Fathoms,Temp (F) at 1200 Fathoms,Temp (F) at 1300 Fathoms,Temp (F) at 1330 Fathoms,Temp (F) at 1400 Fathoms,Temp (F) at 1450 Fathoms,Temp (F) at 1500 Fathoms,Temp (F) at 1530 Fathoms,Temp (F) at 1580 Fathoms,Temp (F) at 1600 Fathoms,Temp (F) at 1650 Fathoms,Temp (F) at 1700 Fathoms,Temp (F) at 1725 Fathoms,Temp (F) at 1730 Fathoms,Temp (F) at 1775 Fathoms,Temp (F) at 1780 Fathoms,Temp (F) at 1800 Fathoms,Temp (F) at 1825 Fathoms,Temp (F) at 1850 Fathoms,Temp (F) at 1900 Fathoms,Temp (F) at 1915 Fathoms,Temp (F) at 1980 Fathoms,Temp (F) at 2000 Fathoms,Temp (F) at 2025 Fathoms,Temp (F) at 2100 Fathoms,Temp (F) at 2125Fathoms,Temp (F) at 2180 Fathoms,Temp (F) at 2200 Fathoms,Temp (F) at 2225 Fathoms,Temp (F) at 2270 Fathoms,Temp (F) at 2300 Fathoms,Temp (F) at 2325 Fathoms,Temp (F) at 2400 Fathoms,Temp (F) at 2425 Fathoms,Temp (F) at 2400 Fathoms,Temp (F) at 2500 Fathoms,Temp (F) at 2525 Fathoms,Temp (F) at 2600 Fathoms,Temp (F) at 2625 Fathoms,Temp (F) at 2650 Fathoms,Temp (F) at 2675 Fathoms,Temp (F) at 2700 Fathoms,Temp (F) at 2775 Fathoms,Temp (F) at 2800 Fathoms,Temp (F) at 2900 Fathoms,
I,Blue mud,41,58,0,N,9,42,0,W,-9.70,41.97,"Off Cape Finisterre, Portugal",27,Northeast Atlantic Ocean,,Portugal,30/12/1872,Dredge,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ia,Hard ground,40,25,0,N,9,38,30,W,-9.64,40.42,Off Portugal coast,27,Northeast Atlantic Ocean,,Portugal,01/01/1873,,325,11.11,52.00,,,13.89,57.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ib,Hard ground,40,24,0,N,9,45,0,W,-9.75,40.40,Off Portugal coast,27,Northeast Atlantic Ocean,,Portugal,01/01/1873,,730,9.44,49.00,,,13.89,57.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ic,Hard ground,40,23,0,N,9,43,0,W,-9.72,40.38,Off Portugal coast,27,Northeast Atlantic Ocean,,Portugal,01/01/1873,Dredge,950,,,,,13.89,57.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Id,Green sand,39,55,0,N,10,5,0,W,-10.08,39.92,Off Portugal coast,27,Northeast Atlantic Ocean,,Portugal,02/01/1873,Dredge,1975,,,,,13.89,57.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Green mud,38,10,0,N,9,14,0,W,-9.23,38.17,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,13/01/1873,Dredge,470,,,,,13.89,57.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II a,Green mud,38,5,0,N,9,39,0,W,-9.65,38.08,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,13/01/1873,Dredge,1270,,,,,13.89,57.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II b,Green mud,38,31,0,N,9,31,0,W,-9.52,38.52,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,14/01/1873,,84,,,,,13.89,57.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II c,Green mud,38,28,0,N,9,35,0,W,-9.58,38.47,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,14/01/1873,,280,,,,,13.89,57.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II d,Green mud,38,26,0,N,9,38,0,W,-9.63,38.43,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,14/01/1873,,560,11.11,52.00,,,14.17,57.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
