Station,Sediment_sample,Latitude_Degrees,Latitude_Minutes,Latitude_Seconds,North_South,Longitude_Degrees,Longitude_Minutes,Longitude_Seconds,East_West,Decimal_Longitude,Decimal_Latitude,Location,FAOarea,Water_body,Sea_Area,Place,Date,Gear,Depth_(fathoms),Bottom_water_temperature_(C)_,Bottom_temp_(F),Bottom_water_depth_D_(fathoms),Specific_Gravity_at_bottom,Surface_temp_(C),Surface_temp_(F),Specific_Gravity_at_surface
I,Blue mud,41,58,0,N,9,42,0,W,-9.7,41.97,"Off Cape Finisterre, Portugal",27,Northeast Atlantic Ocean,,Portugal,12/30/1872,Dredge,1125,,,,,,,
Ia,Hard ground,40,25,0,N,9,38,30,W,-9.64,40.42,Off Portugal coast,27,Northeast Atlantic Ocean,,Portugal,1/1/1873,,325,11.11,52,,,13.89,57,
Ib,Hard ground,40,24,0,N,9,45,0,W,-9.75,40.4,Off Portugal coast,27,Northeast Atlantic Ocean,,Portugal,1/1/1873,,730,9.44,49,,,13.89,57,
Ic,Hard ground,40,23,0,N,9,43,0,W,-9.72,40.38,Off Portugal coast,27,Northeast Atlantic Ocean,,Portugal,1/1/1873,Dredge,950,,,,,13.89,57,
Id,Green sand,39,55,0,N,10,5,0,W,-10.08,39.92,Off Portugal coast,27,Northeast Atlantic Ocean,,Portugal,1/2/1873,Dredge,1975,,,,,13.89,57,
II,Green mud,38,10,0,N,9,14,0,W,-9.23,38.17,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/13/1873,Dredge,470,,,,,13.89,57,
II a,Green mud,38,5,0,N,9,39,0,W,-9.65,38.08,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/13/1873,Dredge,1270,,,,,13.89,57,
II b,Green mud,38,31,0,N,9,31,0,W,-9.52,38.52,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/14/1873,,84,,,,,13.89,57,
II c,Green mud,38,28,0,N,9,35,0,W,-9.58,38.47,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/14/1873,,280,,,,,13.89,57,
II d,Green mud,38,26,0,N,9,38,0,W,-9.63,38.43,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/14/1873,,560,11.11,52,,,14.17,57.5,
II e,Green mud,38,22,0,N,9,44,0,W,-9.73,38.37,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/14/1873,,1290,,,,,13.89,57,
II f,Green mud,38,14,25,N,9,49,42,W,-9.83,38.24,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/14/1873,,1475,3.06,37.5,,,14.17,57.5,
II g,Green mud,38,9,43,N,9,48,0,W,-9.8,38.16,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/14/1873,,1380,3.33,38,,,14.17,57.5,
II h,Green mud,37,50,0,N,10,8,0,W,-10.13,37.83,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/14/1873,,1800,2.78,37,,,13.89,57,
II j,Green mud,37,1,45,N,9,23,45,W,-9.4,37.03,"Off Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/15/1873,,1000,4.17,39.5,,,15.28,59.5,
II k,Green sand,36,58,50,N,9,14,20,W,-9.24,36.98,"Off Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/15/1873,Dredge,525,12.22,54,,,15.56,60,
III,Green sand,37,2,0,N,9,14,0,W,-9.23,37.03,"Off Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/15/1873,Dredge,900,,,,,15.56,60,
IV,Green sand,36,25,0,N,8,12,0,W,-8.2,36.42,Between Cape Sao Vincente and Gibraltar Strait,27,Northeast Atlantic Ocean,,Portugal,1/16/1873,Dredge & Trawl,600,,,,,15.56,60,
